"Year","Month","Inches of Precipitation"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT",""
"2002","NOV","0.42"
"2002","DEC","5.34"
"2002","JAN","7.06"
"2002","FEB","0.73"
"2002","MAR","2.15"
"2002","APR","0.78"
"2002","MAY","4.16"
"2002","JUN","0.92"
"2002","JUL","0.00"
"2002","AUG","0.05"
"2002","SEP","0.80"
"2002","OCT","2.70"
"2002","NOV","1.54"
"2002","DEC","3.55"
"2002","JAN","10.37"
"2002","FEB","3.16"
"2002","MAR","4.31"
"2002","APR","2.39"
"2002","MAY","4.26"
"2002","JUN","2.41"
"2002","JUL","0.00"
"2002","AUG","0.01"
"2002","SEP","1.54"
"2002","OCT","1.28"
"2002","NOV","1.77"
"2002","DEC","4.14"
"2002","JAN","8.24"
"2002","FEB","1.60"
"2002","MAR","2.63"
"2002","APR","1.69"
"2002","MAY","2.75"
"2002","JUN","1.33"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","1.10"
"2002","OCT","0.65"
"2002","NOV","0.85"
"2002","DEC","4.52"
"2002","JAN","7.00"
"2002","FEB","0.27"
"2002","MAR","1.40"
"2002","APR","0.31"
"2002","MAY","2.70"
"2002","JUN","0.79"
"2002","JUL","0.00"
"2002","AUG","0.01"
"2002","SEP","0.08"
"2002","OCT","0.00"
"2002","NOV","0.00"
"2002","DEC",""
"2002","JAN","2.60"
"2002","FEB","0.08"
"2002","MAR","1.63"
"2002","APR","0.69"
"2002","MAY","0.97"
"2002","JUN","2.59"
"2002","JUL","0.03"
"2002","AUG","0.02"
"2002","SEP","0.00"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","0.39"
"2002","NOV","0.37"
"2002","DEC","1.51"
"2002","JAN","1.93"
"2002","FEB","0.27"
"2002","MAR","1.89"
"2002","APR","0.40"
"2002","MAY","1.03"
"2002","JUN","0.55"
"2002","JUL","0.06"
"2002","AUG","0.30"
"2002","SEP","0.00"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT",""
"2002","NOV",""
"2002","DEC","5.52"
"2002","JAN","7.08"
"2002","FEB","0.00"
"2002","MAR","2.29"
"2002","APR","1.48"
"2002","MAY","3.04"
"2002","JUN","0.12"
"2002","JUL","0.00"
"2002","AUG","0.08"
"2002","SEP","0.00"
"2002","OCT","1.51"
"2002","NOV","1.75"
"2002","DEC","7.63"
"2002","JAN","5.41"
"2002","FEB","0.36"
"2002","MAR","2.87"
"2002","APR","2.05"
"2002","MAY","3.49"
"2002","JUN","0.50"
"2002","JUL","0.01"
"2002","AUG","0.05"
"2002","SEP","0.22"
"2002","OCT","0.16"
"2002","NOV","1.04"
"2002","DEC","11.73"
"2002","JAN","4.55"
"2002","FEB","0.04"
"2002","MAR","2.59"
"2002","APR","1.77"
"2002","MAY","2.72"
"2002","JUN","0.05"
"2002","JUL","0.00"
"2002","AUG","0.05"
"2002","SEP","0.01"
"2002","OCT","0.62"
"2002","NOV","1.24"
"2002","DEC","6.05"
"2002","JAN","8.34"
"2002","FEB","0.11"
"2002","MAR","2.79"
"2002","APR","1.92"
"2002","MAY","2.51"
"2002","JUN","0.17"
"2002","JUL","0.03"
"2002","AUG","0.02"
"2002","SEP","0.20"
"2002","OCT","2.62"
"2002","NOV","2.36"
"2002","DEC","14.24"
"2002","JAN","22.44"
"2002","FEB","1.44"
"2002","MAR","6.44"
"2002","APR","2.80"
"2002","MAY","8.60"
"2002","JUN","2.16"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","1.32"
"2002","OCT","0.76"
"2002","NOV","2.04"
"2002","DEC","11.06"
"2002","JAN","5.60"
"2002","FEB","0.17"
"2002","MAR","4.07"
"2002","APR","1.86"
"2002","MAY","3.52"
"2002","JUN","0.49"
"2002","JUL","0.01"
"2002","AUG","0.04"
"2002","SEP","0.29"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT",""
"2002","NOV",""
"2002","DEC","3.82"
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","3.04"
"2002","NOV","2.34"
"2002","DEC","8.59"
"2002","JAN","18.78"
"2002","FEB","3.20"
"2002","MAR","6.90"
"2002","APR","4.67"
"2002","MAY","6.43"
"2002","JUN","3.22"
"2002","JUL","0.00"
"2002","AUG","0.10"
"2002","SEP","1.44"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","2.99"
"2002","NOV","1.64"
"2002","DEC","4.14"
"2002","JAN","6.08"
"2002","FEB","0.92"
"2002","MAR","1.36"
"2002","APR","1.30"
"2002","MAY","2.99"
"2002","JUN","0.94"
"2002","JUL","0.06"
"2002","AUG","0.00"
"2002","SEP","0.29"
"2002","OCT","0.85"
"2002","NOV","0.64"
"2002","DEC","2.64"
"2002","JAN","3.01"
"2002","FEB","0.20"
"2002","MAR","0.53"
"2002","APR","0.34"
"2002","MAY","1.65"
"2002","JUN","0.40"
"2002","JUL","0.00"
"2002","AUG","0.17"
"2002","SEP","0.00"
"2002","OCT","0.39"
"2002","NOV","0.11"
"2002","DEC","1.67"
"2002","JAN","1.50"
"2002","FEB","0.12"
"2002","MAR","0.75"
"2002","APR","0.23"
"2002","MAY","1.18"
"2002","JUN","0.18"
"2002","JUL","0.00"
"2002","AUG","0.25"
"2002","SEP","0.00"
"2002","OCT","0.77"
"2002","NOV","0.45"
"2002","DEC","2.41"
"2002","JAN","2.95"
"2002","FEB","0.26"
"2002","MAR","0.57"
"2002","APR","0.23"
"2002","MAY","2.84"
"2002","JUN","0.28"
"2002","JUL","0.00"
"2002","AUG","1.29"
"2002","SEP","0.00"
"2002","OCT","0.46"
"2002","NOV",""
"2002","DEC","5.01"
"2002","JAN","6.10"
"2002","FEB","0.05"
"2002","MAR","1.90"
"2002","APR","0.84"
"2002","MAY","3.99"
"2002","JUN","0.00"
"2002","JUL","0.14"
"2002","AUG","0.00"
"2002","SEP","0.01"
"2002","OCT",""
"2002","NOV",""
"2002","DEC","4.28"
"2002","JAN","2.43"
"2002","FEB","0.00"
"2002","MAR","0.56"
"2002","APR","0.72"
"2002","MAY","2.23"
"2002","JUN","0.21"
"2002","JUL","0.01"
"2002","AUG","0.03"
"2002","SEP","0.01"
"2002","OCT","0.77"
"2002","NOV","0.45"
"2002","DEC","2.41"
"2002","JAN","2.95"
"2002","FEB","0.26"
"2002","MAR","0.57"
"2002","APR","0.23"
"2002","MAY","2.84"
"2002","JUN","0.28"
"2002","JUL","0.00"
"2002","AUG","1.29"
"2002","SEP","0.00"
"2002","OCT","0.32"
"2002","NOV","0.65"
"2002","DEC","2.54"
"2002","JAN","2.82"
"2002","FEB","0.03"
"2002","MAR","0.64"
"2002","APR","0.58"
"2002","MAY","1.08"
"2002","JUN","0.88"
"2002","JUL","0.40"
"2002","AUG","0.14"
"2002","SEP","0.00"
"2002","OCT","1.36"
"2002","NOV","3.06"
"2002","DEC","6.00"
"2002","JAN","11.58"
"2002","FEB","0.25"
"2002","MAR","2.66"
"2002","APR","1.07"
"2002","MAY","4.47"
"2002","JUN","0.38"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.12"
"2002","OCT","1.03"
"2002","NOV","0.60"
"2002","DEC","6.57"
"2002","JAN","8.41"
"2002","FEB","0.40"
"2002","MAR","3.30"
"2002","APR","1.70"
"2002","MAY","2.68"
"2002","JUN","0.57"
"2002","JUL","0.08"
"2002","AUG","0.30"
"2002","SEP","1.30"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","0.30"
"2002","NOV","0.10"
"2002","DEC","1.56"
"2002","JAN","1.34"
"2002","FEB","0.00"
"2002","MAR","0.00"
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","1.79"
"2002","NOV","2.49"
"2002","DEC","6.23"
"2002","JAN","10.15"
"2002","FEB","0.26"
"2002","MAR","2.74"
"2002","APR","1.17"
"2002","MAY","4.00"
"2002","JUN","0.72"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","1.32"
"2002","OCT","0.60"
"2002","NOV","0.05"
"2002","DEC","1.72"
"2002","JAN","10.13"
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","0.32"
"2002","NOV","1.16"
"2002","DEC","6.33"
"2002","JAN","4.24"
"2002","FEB",""
"2002","MAR","1.81"
"2002","APR","1.94"
"2002","MAY","2.52"
"2002","JUN","0.40"
"2002","JUL","0.69"
"2002","AUG","0.14"
"2002","SEP","0.00"
"2002","OCT","0.42"
"2002","NOV","0.07"
"2002","DEC","1.34"
"2002","JAN","1.49"
"2002","FEB","0.24"
"2002","MAR","0.68"
"2002","APR","0.10"
"2002","MAY","1.07"
"2002","JUN","0.17"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.00"
"2002","OCT","0.75"
"2002","NOV","2.26"
"2002","DEC","6.24"
"2002","JAN","3.36"
"2002","FEB","0.05"
"2002","MAR","2.32"
"2002","APR","1.37"
"2002","MAY","3.09"
"2002","JUN","0.62"
"2002","JUL","0.02"
"2002","AUG","0.02"
"2002","SEP","0.04"
"2002","OCT","1.62"
"2002","NOV","2.15"
"2002","DEC","6.41"
"2002","JAN","12.23"
"2002","FEB","0.02"
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP",""
"2002","OCT","0.43"
"2002","NOV","0.66"
"2002","DEC","2.02"
"2002","JAN","2.08"
"2002","FEB","0.03"
"2002","MAR","0.96"
"2002","APR","0.73"
"2002","MAY","2.03"
"2002","JUN","0.27"
"2002","JUL","0.11"
"2002","AUG","0.08"
"2002","SEP","0.02"
"2002","OCT","0.00"
"2002","NOV","1.58"
"2002","DEC","12.44"
"2002","JAN","3.36"
"2002","FEB","0.00"
"2002","MAR","1.80"
"2002","APR","1.06"
"2002","MAY","2.60"
"2002","JUN","0.00"
"2002","JUL","0.00"
"2002","AUG","0.12"
"2002","SEP","0.00"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","0.00"
"2002","NOV","0.57"
"2002","DEC","7.37"
"2002","JAN","1.86"
"2002","FEB","0.00"
"2002","MAR","1.55"
"2002","APR","0.83"
"2002","MAY","1.44"
"2002","JUN","0.00"
"2002","JUL","0.01"
"2002","AUG","0.00"
"2002","SEP","0.00"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","0.08"
"2002","NOV","1.65"
"2002","DEC","6.36"
"2002","JAN","3.12"
"2002","FEB","0.00"
"2002","MAR","3.80"
"2002","APR","2.94"
"2002","MAY","1.55"
"2002","JUN","0.00"
"2002","JUL","0.00"
"2002","AUG","0.02"
"2002","SEP","0.00"
"2002","OCT","0.00"
"2002","NOV","0.96"
"2002","DEC","5.21"
"2002","JAN","2.09"
"2002","FEB","0.00"
"2002","MAR","1.59"
"2002","APR","1.11"
"2002","MAY","2.92"
"2002","JUN","0.00"
"2002","JUL","0.00"
"2002","AUG","0.06"
"2002","SEP","0.00"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","0.26"
"2002","NOV","1.71"
"2002","DEC","6.53"
"2002","JAN","5.77"
"2002","FEB","0.01"
"2002","MAR","2.30"
"2002","APR","0.96"
"2002","MAY","2.38"
"2002","JUN","0.00"
"2002","JUL","0.00"
"2002","AUG","0.14"
"2002","SEP","0.00"
"2002","OCT","0.00"
"2002","NOV","1.19"
"2002","DEC","3.78"
"2002","JAN","1.18"
"2002","FEB","0.00"
"2002","MAR","1.33"
"2002","APR","1.36"
"2002","MAY","0.25"
"2002","JUN","0.00"
"2002","JUL","0.00"
"2002","AUG","0.05"
"2002","SEP","0.00"
"2002","OCT","0.01"
"2002","NOV","1.46"
"2002","DEC","3.78"
"2002","JAN","2.44"
"2002","FEB","0.00"
"2002","MAR","1.33"
"2002","APR","0.72"
"2002","MAY","0.23"
"2002","JUN","0.00"
"2002","JUL","0.00"
"2002","AUG","0.05"
"2002","SEP","0.00"
"2002","OCT","0.01"
"2002","NOV","0.99"
"2002","DEC","2.02"
"2002","JAN","2.38"
"2002","FEB","0.00"
"2002","MAR","2.06"
"2002","APR","1.20"
"2002","MAY","0.13"
"2002","JUN","0.00"
"2002","JUL","0.00"
"2002","AUG","0.01"
"2002","SEP","0.00"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","0.31"
"2002","NOV","0.10"
"2002","DEC","1.33"
"2002","JAN","1.79"
"2002","FEB","0.14"
"2002","MAR","2.10"
"2002","APR","1.10"
"2002","MAY","1.26"
"2002","JUN","0.48"
"2002","JUL","0.00"
"2002","AUG","0.12"
"2002","SEP","0.00"
"2002","OCT","0.12"
"2002","NOV","0.14"
"2002","DEC","1.92"
"2002","JAN","1.48"
"2002","FEB","0.06"
"2002","MAR","1.52"
"2002","APR","0.93"
"2002","MAY","1.95"
"2002","JUN","0.28"
"2002","JUL","0.04"
"2002","AUG","0.11"
"2002","SEP","0.01"
"2002","OCT","0.01"
"2002","NOV","0.55"
"2002","DEC","4.38"
"2002","JAN","2.88"
"2002","FEB","0.00"
"2002","MAR","5.29"
"2002","APR","2.24"
"2002","MAY","2.34"
"2002","JUN","0.17"
"2002","JUL","0.01"
"2002","AUG","0.00"
"2002","SEP","0.01"
"2002","OCT","0.17"
"2002","NOV","3.16"
"2002","DEC","14.33"
"2002","JAN","7.14"
"2002","FEB","0.09"
"2002","MAR","8.58"
"2002","APR","4.20"
"2002","MAY","4.62"
"2002","JUN","0.46"
"2002","JUL","0.03"
"2002","AUG","0.00"
"2002","SEP","0.20"
"2002","OCT","0.32"
"2002","NOV","1.94"
"2002","DEC","15.43"
"2002","JAN","6.50"
"2002","FEB","0.00"
"2002","MAR","5.77"
"2002","APR","2.38"
"2002","MAY","4.80"
"2002","JUN","0.17"
"2002","JUL","0.00"
"2002","AUG","0.10"
"2002","SEP","0.00"
"2002","OCT","0.57"
"2002","NOV","0.92"
"2002","DEC","16.10"
"2002","JAN","13.03"
"2002","FEB","0.02"
"2002","MAR","9.11"
"2002","APR","1.86"
"2002","MAY","8.49"
"2002","JUN","0.46"
"2002","JUL","0.00"
"2002","AUG","1.90"
"2002","SEP","0.00"
"2002","OCT","0.20"
"2002","NOV","0.15"
"2002","DEC","7.23"
"2002","JAN","1.89"
"2002","FEB","0.00"
"2002","MAR","7.87"
"2002","APR","2.02"
"2002","MAY","2.53"
"2002","JUN","0.31"
"2002","JUL","0.69"
"2002","AUG","0.00"
"2002","SEP","0.00"
"2002","OCT","0.26"
"2002","NOV","1.30"
"2002","DEC","6.51"
"2002","JAN","0.74"
"2002","FEB","0.02"
"2002","MAR","3.30"
"2002","APR","1.59"
"2002","MAY","2.86"
"2002","JUN","0.27"
"2002","JUL","0.28"
"2002","AUG","0.06"
"2002","SEP","0.00"
"2002","OCT","0.01"
"2002","NOV","0.96"
"2002","DEC","5.47"
"2002","JAN","2.83"
"2002","FEB","0.00"
"2002","MAR","1.12"
"2002","APR","1.47"
"2002","MAY","1.71"
"2002","JUN","0.00"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.00"
"2002","OCT","0.05"
"2002","NOV","1.64"
"2002","DEC","8.37"
"2002","JAN","3.98"
"2002","FEB","0.00"
"2002","MAR","5.68"
"2002","APR","3.08"
"2002","MAY","3.07"
"2002","JUN","0.15"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.00"
"2002","OCT","0.00"
"2002","NOV","2.60"
"2002","DEC","9.40"
"2002","JAN","4.27"
"2002","FEB","0.04"
"2002","MAR","7.66"
"2002","APR","4.79"
"2002","MAY","4.52"
"2002","JUN","0.01"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.01"
"2002","OCT","0.00"
"2002","NOV","0.52"
"2002","DEC","7.03"
"2002","JAN","1.45"
"2002","FEB","0.00"
"2002","MAR","1.66"
"2002","APR","1.27"
"2002","MAY","0.78"
"2002","JUN","0.01"
"2002","JUL","0.00"
"2002","AUG","0.28"
"2002","SEP","0.00"
"2002","OCT","0.03"
"2002","NOV",""
"2002","DEC","10.03"
"2002","JAN","7.08"
"2002","FEB","0.00"
"2002","MAR","5.63"
"2002","APR","2.30"
"2002","MAY","5.23"
"2002","JUN","0.35"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.00"
"2002","OCT","0.36"
"2002","NOV","1.35"
"2002","DEC","15.52"
"2002","JAN","7.59"
"2002","FEB","0.09"
"2002","MAR","5.13"
"2002","APR","2.85"
"2002","MAY","4.74"
"2002","JUN","0.27"
"2002","JUL","0.10"
"2002","AUG","0.03"
"2002","SEP","0.05"
"2002","OCT","0.09"
"2002","NOV","4.77"
"2002","DEC","11.52"
"2002","JAN","4.29"
"2002","FEB","0.43"
"2002","MAR","7.81"
"2002","APR","4.77"
"2002","MAY","5.60"
"2002","JUN","0.23"
"2002","JUL","0.02"
"2002","AUG","0.15"
"2002","SEP","0.06"
"2002","OCT","0.09"
"2002","NOV","0.40"
"2002","DEC","7.42"
"2002","JAN","4.21"
"2002","FEB","0.00"
"2002","MAR","7.62"
"2002","APR","3.93"
"2002","MAY","4.42"
"2002","JUN","0.13"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.03"
"2002","OCT","0.08"
"2002","NOV","1.52"
"2002","DEC","11.32"
"2002","JAN","5.11"
"2002","FEB","0.00"
"2002","MAR","8.00"
"2002","APR","4.33"
"2002","MAY","3.30"
"2002","JUN","0.14"
"2002","JUL","0.03"
"2002","AUG","0.00"
"2002","SEP","0.04"
"2002","OCT","0.07"
"2002","NOV","1.20"
"2002","DEC","12.39"
"2002","JAN","5.69"
"2002","FEB","0.03"
"2002","MAR","7.26"
"2002","APR","4.28"
"2002","MAY","4.72"
"2002","JUN","0.00"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.00"
"2002","OCT","0.04"
"2002","NOV","1.68"
"2002","DEC","11.54"
"2002","JAN","4.07"
"2002","FEB","0.00"
"2002","MAR","7.38"
"2002","APR","4.69"
"2002","MAY","4.11"
"2002","JUN","0.03"
"2002","JUL","0.00"
"2002","AUG","0.02"
"2002","SEP","0.02"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","0.04"
"2002","NOV","0.15"
"2002","DEC","2.71"
"2002","JAN",""
"2002","FEB","0.04"
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN","0.06"
"2002","JUL","0.04"
"2002","AUG","0.50"
"2002","SEP","0.00"
"2002","OCT","0.02"
"2002","NOV","1.54"
"2002","DEC","6.96"
"2002","JAN","2.52"
"2002","FEB","0.00"
"2002","MAR","4.20"
"2002","APR","2.13"
"2002","MAY","2.42"
"2002","JUN","0.00"
"2002","JUL","0.02"
"2002","AUG","0.00"
"2002","SEP","0.02"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","0.32"
"2002","NOV",""
"2002","DEC","9.93"
"2002","JAN","5.56"
"2002","FEB","0.11"
"2002","MAR","3.78"
"2002","APR","2.34"
"2002","MAY","4.78"
"2002","JUN","1.15"
"2002","JUL","0.05"
"2002","AUG","0.06"
"2002","SEP","0.04"
"2002","OCT","0.21"
"2002","NOV","2.47"
"2002","DEC","6.25"
"2002","JAN","3.85"
"2002","FEB","0.12"
"2002","MAR","2.23"
"2002","APR","2.05"
"2002","MAY","3.17"
"2002","JUN","0.70"
"2002","JUL","0.48"
"2002","AUG","0.10"
"2002","SEP","0.00"
"2002","OCT","0.22"
"2002","NOV","1.60"
"2002","DEC","10.08"
"2002","JAN","5.30"
"2002","FEB","0.10"
"2002","MAR","5.26"
"2002","APR","1.56"
"2002","MAY","5.48"
"2002","JUN","0.49"
"2002","JUL","0.01"
"2002","AUG","0.13"
"2002","SEP","0.02"
"2002","OCT","0.64"
"2002","NOV","0.41"
"2002","DEC","4.53"
"2002","JAN","5.86"
"2002","FEB","0.14"
"2002","MAR","7.34"
"2002","APR","0.98"
"2002","MAY","5.10"
"2002","JUN","1.36"
"2002","JUL","0.59"
"2002","AUG","0.25"
"2002","SEP","0.00"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","0.05"
"2002","NOV","0.71"
"2002","DEC","12.01"
"2002","JAN","4.80"
"2002","FEB","0.00"
"2002","MAR","8.75"
"2002","APR","5.30"
"2002","MAY","4.23"
"2002","JUN","0.00"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.03"
"2002","OCT","0.02"
"2002","NOV","0.60"
"2002","DEC","4.93"
"2002","JAN","1.96"
"2002","FEB","0.00"
"2002","MAR","1.78"
"2002","APR","0.43"
"2002","MAY","1.76"
"2002","JUN","0.41"
"2002","JUL","0.00"
"2002","AUG","0.25"
"2002","SEP","0.01"
"2002","OCT","0.05"
"2002","NOV",""
"2002","DEC","10.52"
"2002","JAN","4.01"
"2002","FEB","0.02"
"2002","MAR","9.95"
"2002","APR","4.93"
"2002","MAY","3.47"
"2002","JUN","0.14"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.00"
"2002","OCT","0.07"
"2002","NOV",""
"2002","DEC","6.29"
"2002","JAN","2.70"
"2002","FEB","0.05"
"2002","MAR","6.39"
"2002","APR","3.60"
"2002","MAY","2.47"
"2002","JUN","0.09"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.02"
"2002","OCT","0.18"
"2002","NOV","2.82"
