Year,ID,Location,Station,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
2002,ALTC1,ALTURAS,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.27,2.61,1.86,0.79,1.7,0.45,1.25,0.23,0,0.03,0,0.1
2002,AUBC1,AUBURN,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.65,4.97,9.46,5.75,3.65,6.39,0.71,2.42,0,0,0,0
2002,BLU,BLUE CANYON,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.59,12.82,18.49,6.81,5.61,10.84,2.91,2.27,0,0.01,0,0.08
2002,BNYC1,BURNEY,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.2,4.56,6.3,3.33,2.27,1.68,1.79,0.88,0.13,0,0,0.05
2002,BODC1,BOWMAN DAM,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.8,12.96,19.77,7.65,5.6,10.17,3.95,2.67,0,0,0,0
2002,BRRC1,BRUSH CREEK RS,SACRAMENTO...YUBA...FEATHER...AMERICAN,2.52,17.21,19.8,7.91,4.93,8.13,1.61,1.43,0,0.03,0,0
2002,BUCC1,BUCKS CREEK,SACRAMENTO...YUBA...FEATHER...AMERICAN,2.07,14.02,18.47,6.14,4.61,6.73,2.88,1.8,0,0,0,0
2002,BUKC1,BUCKHORN,SACRAMENTO...YUBA...FEATHER...AMERICAN,3.45,14.21,22.28,7.81,6.18,6.36,6.85,2.8,0,0,0,0.05
2002,CANC1,CANYON DAM,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.1,5.19,8.2,3.81,2.54,3.54,1.25,1.14,0.02,0,0,0
2002,CBYC1,CANBY 3SW,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.29,2.45,1.5,0.55,0.8,0.83,0.98,0.39,0.24,0.02,0,0.01
2002,CHAC1,CHALLENGE RS,SACRAMENTO...YUBA...FEATHER...AMERICAN,2.56,11.75,18.64,7.95,5.11,10.05,1.28,1.95,,,,
2002,CHEC1,CHESTER,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.94,4.43,,1.4,2.17,3.15,2.02,0.67,0,0,0,0
2002,CHUC1,CHICO UNIVERSITY FARM,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.55,4.89,6.94,4.44,0.87,2.78,0.05,1.41,0,0,0,0
2002,CLGC1,COLGATE PH,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.29,7.61,12.75,4.61,4.29,7.04,1.52,1.7,0,0,0,0
2002,COFC1,COLFAX,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.7,7.3,11.86,4.29,5.06,8.98,1.51,1.2,0,0,0,0
2002,DAVC1,DAVIS EXPERIMENTAL FARM,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.38,2.88,6.71,2.39,0.56,1.64,0.06,0.65,0,0,0,0
2002,DESC1,DE SABLA,SACRAMENTO...YUBA...FEATHER...AMERICAN,2.73,13.84,19.73,8.24,4.14,6.34,2.51,1.29,0,0.07,0,0
2002,DUNC1,DUNSMUIR,SACRAMENTO...YUBA...FEATHER...AMERICAN,3.49,15.3,16.15,7.76,6.56,5.2,2.17,3.1,0.17,0.01,0.02,0.13
2002,DWNC1,DOWNIEVILLE,SACRAMENTO...YUBA...FEATHER...AMERICAN,2.17,10.7,16.33,6.32,3.98,7.89,2.51,2.24,0,0,0,0
2002,FOLC1,FOLSOM DAM,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.47,3.66,6.85,2.64,1.34,3.78,0.46,1.79,0,0,0,0
2002,FSTC1,FORESTHILL RS,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.44,7.43,16.16,5.4,5.78,9.44,1.15,2.96,0,0,0,0
2002,GEOC1,GEORGETOWN RS,SACRAMENTO...YUBA...FEATHER...AMERICAN,1,7.86,14.48,5.63,4.85,9.7,2.11,2.9,0,0,0,0
2002,GLRC1,GOLD RUN 2SW,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.58,9.75,14.55,4.72,1.25,9.48,2.54,2.67,0,0,0,0
2002,GRAC1,GRASS VALLEY NO. 2,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.94,8.08,16.28,5.56,5.29,8.38,1.41,2.26,0,0,0,0
2002,GREC1,GREENVILLE RS,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.41,8.32,7.61,5.87,2.39,4.34,1.43,0.98,0,0,0,0
2002,HATC1,HAT CREEK,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.88,3,2.97,2.22,1.14,1.25,1.5,0.1,0.29,0.01,0,0.05
2002,HLEC1,HARRY L ENGLEBRIGHT DAM,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.82,6,10.46,3.75,2.16,5.48,0.92,1.72,0,0,0,0
2002,HRRC1,HARRISON GULCH RS,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.78,6.2,11.78,7.74,3.8,2.43,1.09,1.43,0,0.04,0,0
2002,LSPC1,LAKE SPAULDING,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.85,12.67,19.16,7.52,5.49,10.73,4.06,2.36,0,0,0,0.08
2002,MCLC1,MCCLOUD,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.6,10.46,12.06,4.24,4.29,2.36,1.64,0.94,0.48,0,0,0.07
2002,MHS,MT. SHASTA,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.02,9.53,10.77,4.63,3.58,2.21,2.06,2.2,0.8,0.02,0.21,0.74
2002,MINC1,MINERAL,SACRAMENTO...YUBA...FEATHER...AMERICAN,2.85,10.49,12.01,6.45,2.9,4.72,2.7,0.76,0,0,0,0
2002,MNZC1,MANZANITA LAKE,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.76,6.16,6.81,5.34,2.55,3.7,4.64,1.28,0.37,0.86,0,0
2002,NCOC1,NICOLAUS,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.5,2.59,5.67,2.24,0.74,2.77,0.23,1.37,0,0,0,0
2002,NVDC1,NEVADA CITY,SACRAMENTO...YUBA...FEATHER...AMERICAN,2.01,9.94,19.72,6.29,5.13,9.12,1.8,2.4,0,0,0,0
2002,ONDC1,ORLAND,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.91,5.24,6.29,2.6,0.45,0.97,0.03,1.03,0,0,0,0
2002,OROC1,OROVILLE,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.4,7.4,6.5,4.38,1.28,3.41,2.03,2.68,0,0,0,0
2002,PCHC1,PACIFIC HOUSE,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.03,9.21,12.39,4.72,4.62,8.16,2.18,2.5,0,0,0,0.03
2002,PLCC1,PLACERVILLE,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.78,5.67,10.62,4.51,3.98,6.47,0.8,1.89,0,0,0,0
2002,PRAC1,PORTOLA,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.4,2.64,5.85,1.47,0.45,2.66,1.28,0.37,0.1,0.15,0,0
2002,PRDC1,PARADISE,SACRAMENTO...YUBA...FEATHER...AMERICAN,2.96,12.79,18.23,8.44,4.83,5.79,1.85,1.43,0,0,0,0
2002,PRPC1,PIT RIVER PH5,SACRAMENTO...YUBA...FEATHER...AMERICAN,3.93,12.23,23.75,7.63,6.02,7.6,4.48,1.66,0.09,0,0,0.21
2002,PTRC1,PIT RIVER PH1,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.81,3.04,3.3,2.05,0.79,1.15,1.27,0.19,0.1,0,0,0.02
2002,QCYC1,QUINCY,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.64,7.13,10.69,4.18,1.98,4.13,1.16,1.46,0.24,0,0,0
2002,RBL,RED BLUFF AP,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.81,5.14,6.13,2.11,0.95,1.49,0.81,0.82,0,0,0,0
2002,ROMC1,ROUND MOUNTAIN,SACRAMENTO...YUBA...FEATHER...AMERICAN,3.24,12.12,20.13,6.55,5.02,6.39,5.06,2.36,0.04,0,0,0.01
2002,SAC,SACRAMENTO AP,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.36,2.43,6.27,2.19,1.13,2.87,0.11,2.07,0,0,0,0
2002,SERC1,SIERRAVILLE,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.66,4.62,5.13,1.6,1.18,3.72,0.98,0.38,0.05,0.11,0,0
2002,SHDC1,SHASTA DAM,SACRAMENTO...YUBA...FEATHER...AMERICAN,2.88,17.26,20.05,6.16,5.21,4.86,1.55,2.67,0.28,0,0,0
2002,SLPC1,SLY PARK,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.02,7.92,11.51,4.69,4.96,8.2,2.24,2.64,0,0,0,0.02
2002,SODC1,SODA SPRINGS,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.89,10.9,14.76,6.93,5.03,9.56,4.64,1.1,0.04,0,0,0.04
2002,STOC1,STONY GORGE,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.89,6.14,6.7,2.85,0.8,0.7,0.32,0.44,0,0,0,0
2002,STYC1,STRAWBERRY VALLEY,SACRAMENTO...YUBA...FEATHER...AMERICAN,2.69,15.25,23.83,8.64,5.68,10.75,2.57,2.63,0,0.04,0,0
2002,TWLC1,CAPLES LAKE,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.6,7.47,11.15,3.15,2.72,5.8,2.14,,0.01,0.05,0,0.43
2002,VOLC1,VOLTA PH,SACRAMENTO...YUBA...FEATHER...AMERICAN,1.16,3.5,9.42,4.59,3.07,2.86,2.32,1.27,0,0,0,0
2002,VTNC1,VINTON,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.42,1.76,3.11,0.81,0.39,1.12,0.82,0.49,0.47,0.65,0,0
2002,WDDC1,WOODLAND,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.47,3.44,6.96,2.33,0.96,1.85,0.05,0.71,0,0,0,0
2002,WSKC1,WHISKEYTOWN RES,SACRAMENTO...YUBA...FEATHER...AMERICAN,2.94,16.28,19.44,6.73,4.91,4.92,1.4,1.75,0,0,0,0
2002,ABYC1,AUBERRY,SAN JOAQUIN,0.9,3.44,7.1,2.19,1.13,2.33,0.96,0.83,0.1,0,0,0
2002,ARNC1,CALAVERAS BIG TREES,SAN JOAQUIN,1.37,9.65,13.02,3.6,4.43,8.71,2.76,2.78,0,0,0,0
2002,BCRC1,BIG CREEK PH #1,SAN JOAQUIN,1.54,6.02,7.68,3,1.33,3.6,2.16,2.21,0.05,0,0,0
2002,CHVC1,CHERRY VALLEY,SAN JOAQUIN,2.07,8.96,12.28,4.13,3.28,6.46,2.17,2.26,0.15,0,0,0.14
2002,CMPC1,CAMP PARDEE,SAN JOAQUIN,0.75,2.54,6.02,2.03,2.44,3.57,0.63,1.35,0,0,0,0
2002,COAC1,COARSEGOLD 1 SW,SAN JOAQUIN,0.89,4.65,8.65,1.92,1.65,4.16,0.91,1.12,0,0,,
2002,EXQC1,EXCHEQUER DAM,SAN JOAQUIN,0.56,3.71,5.84,1.92,1.08,2.02,0.46,0.81,0,0,0,0.03
2002,FDDC1,FIDDLETOWN DEXTER RANCH,SAN JOAQUIN,0.85,5.34,8.28,3.42,3.86,5.46,1.41,2.08,0,0,0,0
2002,FLOC1,FLORENCE LAKE,SAN JOAQUIN,1.43,4.59,5.72,1.21,1.53,2.25,0.8,1.65,0.01,0.01,0,0.1
2002,FRAC1,FRIANT GOVERNMENT CAMP,SAN JOAQUIN,0.58,2.49,3.55,1.49,1.1,1.49,0.38,0.72,0,0,0,0
2002,GRVC1,GROVELAND RS,SAN JOAQUIN,1.38,6.25,9.36,3.28,2.3,4.6,1.17,1.22,0.01,0,0,0.13
2002,HETC1,HETCH HETCHY,SAN JOAQUIN,1.17,7.22,9.14,2.88,2.13,3.57,2.1,2.47,0.22,0,0,0.26
2002,HNTC1,HUNTINGTON LAKE,SAN JOAQUIN,1.86,8.5,10.08,4.27,2.24,5.41,2.54,2.84,0.08,0,0,0.11
2002,LOSC1,LOS BANOS,SAN JOAQUIN,0.27,1.15,2.2,0.82,0.16,0.84,0.14,0.2,0,0,0,0.05
2002,MATC1,MATHER,SAN JOAQUIN,0.94,5.92,8.41,2.82,2.18,3.8,2.34,2.15,0,0,0,0.18
2002,MCEC1,MERCED,SAN JOAQUIN,0.36,2.57,2.59,1.36,0.91,1.47,0.06,1.35,0,0,0,0
2002,MDRC1,MADERA,SAN JOAQUIN,0.51,1.89,2.42,1.4,0.34,1.14,0.23,0.33,0.22,0,,0
2002,MOD,MODESTO AP,SAN JOAQUIN,0.05,1.76,4.69,1.83,0.57,1.45,0.08,0.13,0,0,0,0
2002,MRIC1,MARIPOSA RS,SAN JOAQUIN,0.99,6.85,7.42,2.73,,2.39,0.6,,0,,,0.19
2002,NMDC1,NEW MELONES DAM HQ,SAN JOAQUIN,0.73,3.74,8.39,3.18,1.93,3.93,0.97,1.14,0,0,0,0
2002,NOFC1,NORTH FORK RS,SAN JOAQUIN,0.72,4.52,8.86,2.72,1.44,4,1.38,2.15,0.18,0,0,0.19
2002,PANC1,PANOCHE 2W,SAN JOAQUIN,0.06,1.45,2.39,0.48,0.29,0.9,0.6,0.24,0,0,0,0
2002,SCKC1,STOCKTON FIRE STA 4,SAN JOAQUIN,0.44,2.91,6.6,1.62,0.86,2.92,0.1,0.92,0,0,0,0
2002,SLDC1,LOS BANOS,SAN JOAQUIN,0.13,1.97,2.23,0.77,0.53,0.85,0.17,0.23,0,0,0,0
2002,SONC1,SONORA,SAN JOAQUIN,0.83,5.14,10.03,2.6,3,5.32,0.78,1.11,0,0,0,0.04
2002,SPGC1,SALT SPRINGS PH,SAN JOAQUIN,1.51,8.32,11.27,3.53,3.67,6.11,2.69,2.07,0,0,0,0.16
2002,TIGC1,TIGER CREEK PH,SAN JOAQUIN,1.38,7.62,12.86,3.69,4.07,6.8,2.12,2.4,0,0.03,0,0.04
2002,TRAC1,TRACY CARBONA,SAN JOAQUIN,0.23,1.57,4.04,1.25,0.55,1.46,0,0.08,0,0,0,0
2002,WSTC1,WEST POINT,SAN JOAQUIN,1.24,3.97,12.19,3.93,3.88,6.22,1.76,2.36,0,0,0,0
2002,YNPC1,SOUTH ENTRANCE YOSEMITE,SAN JOAQUIN,1.8,7.74,12.05,2.48,2.35,4.34,1.49,1.79,0,0,0,0.5
2002,YPQC1,YOSEMITE PARK HEADQUARTER,SAN JOAQUIN,0.9,8.25,10.98,2.22,1.93,4.03,1.83,1.75,0.1,0,0,0.52
2002,ASHC1,ASH MOUNTAIN,KERN...TULE...KAWEAH...KINGS,0.76,3.97,7.5,2.35,0.09,3.26,0.78,1.01,0,0.04,0,0
2002,ATWC1,ATWELL CAMP,KERN...TULE...KAWEAH...KINGS,1.5,9.5,10.2,3.7,0.9,6.1,1,2.4,0,0,0,0
2002,BFL,BAKERSFIELD,KERN...TULE...KAWEAH...KINGS,0.22,1.08,0.66,0.52,0.26,0.43,0.25,0.13,0,0,0,0
2002,BTPC1,BEAR TRAP MEADOW,KERN...TULE...KAWEAH...KINGS,0,9.7,11.1,4.5,1.9,5.4,0.9,2,0,0.1,0.1,0.2
2002,DNPC1,BALCH PH,KERN...TULE...KAWEAH...KINGS,1,4.55,7.14,3.27,1.1,3.5,1.3,1.26,0,0,0,0
2002,EGCC1,EAGLE CREEK,KERN...TULE...KAWEAH...KINGS,0,8.6,10.3,4.6,0.1,6.8,0.9,1.7,0,0,0,0
2002,GNFC1,GIANT FOREST,KERN...TULE...KAWEAH...KINGS,,9.9,12.1,2.3,2.1,8.2,1.1,2.7,0,0.2,0,0
2002,GNNC1,GLENNVILLE,KERN...TULE...KAWEAH...KINGS,0.71,3.99,4.24,1.55,0.82,3.07,0.67,1.5,,0,0,0.02
2002,GRGC1,GRANT GROVE,KERN...TULE...KAWEAH...KINGS,1.54,7.24,11.04,4.14,1.65,5.93,1.45,1.8,0.07,0,0,0
2002,HCKC1,HOCKETT MEADOW,KERN...TULE...KAWEAH...KINGS,1.5,9.3,9.9,2.7,3,5.4,0.2,2.3,0.4,0.2,0,0
2002,HSSC1,HOSSACK,KERN...TULE...KAWEAH...KINGS,1.4,8.6,12,5.8,0.7,7,1.7,2.7,0,0,0,0
2002,ISAC1,LAKE ISABELLA DAM,KERN...TULE...KAWEAH...KINGS,0.57,3.11,2.37,0.39,0.32,1.09,0.03,0.28,0,0.11,0,0
