2002, 'SOUTHERN OREGON COASTAL'
2002, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2002, 'PRSO3', 'PROSPECT 2SW', '   1.78', '   7.17', '   9.10', '   5.86', '   3.45', '   3.51', '   2.88', '   0.65', '   0.34', '   0.03', '   0.00', '   0.82', ' 35.59', '  84'
2002, 'RIDO3', 'RIDDLE', '   1.02', '   6.84', '   6.71', '   4.81', '   2.76', '   1.71', '   1.23', '   1.30', '   0.26', '   0.02', '   0.00', '   0.24', ' 26.90', '  85'
2002, 'ROGO3', 'ROSEBURG', '   1.91', '   6.88', '   6.65', '   4.83', '   2.40', '   0.85', '   1.54', '   1.13', '   0.19', '   0.00', '   0.00', '   0.32', ' 26.70', '  79'
2002, 'SXT', 'SEXTON SUMMIT', '   0.28', '   5.13', '   5.75', '   5.75', '   3.03', '   2.90', '   1.63', '   1.08', '   0.07', '   0.01', '   0.00', '   0.20', ' 25.83', '  78'
2002, 'TKFO3', 'TOKETEE FALLS', '   3.23', '   7.45', '   9.59', '   6.94', '   3.54', '   4.06', '   3.31', '   1.22', '   1.17', '   0.04', '   0.02', '   1.99', ' 42.56', '  87'
2002, 'WINO3', 'WINCHESTER DAM', '   1.66', '   7.37', '   7.39', '   5.32', '   2.77', '   2.93', '   1.46', '   1.29', '   0.25', '   0.00', '   0.08', '   0.65', ' 31.17', '  87'
2002, 'WLMO3', 'WILLIAMS', '   0.40', '   7.11', '   7.98', '   7.98', '   2.68', '   2.68', '   1.79', '   0.46', '   0.00', '   0.00', '   0.00', '   0.08', ' 31.16', '  96'
2002, 'OREGON CLOSED BASINS'
2002, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2002, 'DNON2', 'DENIO', '   0.25', '   1.54', '   1.37', '   0.69', '   0.91', '   0.56', '   0.83', '   0.15', '   0.12', '   0.00', '   0.08', '   0.53', '  7.03', '  72'
2002, 'HMRO3', 'HART MOUNTAIN REF', '   0.34', '   1.37', '   0.61', '   0.67', '   0.63', '   0.72', '   1.45', '   0.60', '   0.66', '   0.00', '   0.15', '   0.57', '  7.77', '  61'
2002, 'PASO3', 'PAISLEY', '   0.29', '   2.09', '   1.16', '   0.40', '   0.52', '   0.37', '   1.24', '   0.73', '   0.58', '   0.04', '   0.08', '   0.25', '  7.75', '  72'
2002, 'SMMO3', 'SUMMER LAKE', '   0.47', '   2.68', '   2.19', '   0.79', '   0.69', '   0.32', '   1.30', '   0.30', '   0.13', '   0.09', '   0.23', '   0.45', '  9.64', '  75'
2002, 'SVLO3', 'SILVER LAKE', '   0.18', '   0.98', '   1.47', '   0.59', '   0.50', '   0.26', '   0.68', '   0.09', '   0.75', '   0.10', '   0.11', '   0.29', '  6.00', '  61'
2002, 'NORTHERN CALIFORNIA COASTAL'
2002, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2002, 'CEC', 'CRESCENT CITY ASOS', '   3.23', '  10.81', '  12.39', '  10.04', '   6.73', '   4.55', '   3.21', '   1.47', '   1.47', '   0.06', '   0.06', '   0.25', ' 54.27', 'NA'
2002, 'CECC1', 'CRESCENT CITY 3NNW', '   3.93', '  12.04', '  15.31', '  11.63', '   8.90', '   5.98', '   3.77', '   1.99', '   1.67', '   0.00', '   0.00', '   0.39', ' 65.61', '  98'
2002, 'CVLC1', 'COVELO', '   1.20', '  10.82', '  12.36', '   5.87', '   3.59', '   2.73', '   0.97', '   1.15', '   0.00', '   0.00', '   0.00', '   0.00', ' 38.69', '  92'
2002, 'EKA', 'EUREKA', '   1.00', '   7.71', '  11.56', '   6.37', '   5.76', '   4.32', '   2.42', '   0.55', '   0.28', '   0.03', '   0.01', '   0.06', ' 40.07', ' 105'
2002, 'FORC1', 'FORT ROSS', '   2.48', '   8.98', '  10.91', '   7.01', '   3.25', '   3.32', '   0.55', '   0.35', '   0.00', '   0.00', '   0.00', '   0.00', ' 36.85', '  99'
2002, 'FRBC1', 'FT BRAGG 5N', '   0.75', '  10.48', '  13.32', '   6.63', '   5.34', '   3.51', '   1.20', '   0.53', '   0.00', '   0.02', '   0.15', '   0.05', ' 41.98', ' 102'
2002, 'GASC1', 'GASQUET RS', '   4.79', '  15.67', '  20.02', '  14.72', '  10.91', '   8.49', '   4.48', '   1.41', '   0.74', '   0.00', '   0.00', '   0.29', ' 81.52', '  89'
2002, 'O87', 'SHELTER COVE', '   1.39', '  15.09', '  18.69', 'M', '  12.02', '   5.45', '   1.65', '   1.12', '   0.00', '   0.00', '   0.00', '   0.00', 'M'
2002, 'RIHC1', 'RICHARDSON GROVE SP', '   2.52', '  15.13', '  15.70', '  13.06', '   6.49', '   4.98', '   1.65', '   1.55', '   0.00', '   0.00', '   0.00', '   0.00', ' 61.08', '  89'
2002, 'SCOC1', 'SCOTIA', '   1.44', '   9.41', '  12.45', '   6.35', '   3.88', '   4.84', '   2.74', '   0.83', '   0.04', '   0.02', '   0.00', '   0.08', ' 42.08', '  87'
2002, 'STNC1', 'STANDISH HICKEY SP', '   1.53', '  17.85', '  17.55', '  13.60', '  10.10', '   4.97', '   2.10', '   2.07', 'M', 'M', '   0.00', 'M', 'M'
2002, 'WTSC1', 'WILLITS 1NE', '   1.11', '  14.56', 'M', '   6.68', '   4.95', '   4.08', '   1.04', '   1.19', '   0.00', '   0.00', 'M', 'M', 'M'
2002, 'UPPER KLAMATH'
2002, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2002, 'CHEO3', 'CHEMULT', '   0.96', '   5.46', '   5.10', '   3.81', '   2.62', '   1.64', '   1.00', '   0.47', '   1.17', '   1.22', '   0.12', '   0.36', ' 23.93', '  93'
2002, 'CHQO3', 'CHILOQUIN 7NW', '   0.94', '   4.50', '   5.77', '   3.35', '   1.77', '   0.77', '   0.90', '   0.15', '   0.16', '   0.03', '   0.00', '   0.16', ' 18.50', '  93'
2002, 'CRLO3', 'CRATER LAKE NP', '   3.65', '  10.96', '  13.81', '   8.41', '   5.21', '   5.21', '   3.10', '   0.66', '   1.28', '   0.27', '   0.16', '   1.76', ' 54.48', '  82'
2002, 'GBZO3', 'GERBER', '   0.72', '   1.99', '   2.51', '   0.81', '   1.55', '   0.80', '   1.04', '   0.15', '   0.24', '   0.05', '   0.00', '   0.01', '  9.87', '  54'
2002, 'HOWO3', 'HOWARD PRAIRIE', '   1.12', '   6.50', '   7.49', '   4.84', '   2.34', '   2.64', '   2.83', '   0.55', '   0.45', '   0.14', '   0.00', '   0.21', ' 29.11', '  89'
2002, 'KENO3', 'KENO', '   0.47', '   4.43', '   3.75', '   1.83', '   2.17', '   0.77', '   2.52', '   0.48', '   0.01', '   0.05', '   0.05', '   0.09', ' 16.62', '  82'
2002, 'LMT', 'KLAMATH FALLS', '   0.31', '   2.00', '   2.15', '   1.47', '   1.59', '   1.35', '   2.09', '   0.18', '   0.82', '   0.00', '   0.05', '   0.00', ' 12.01', '  86'
2002, 'LOWER KLAMATH'
2002, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2002, 'BBAC1', 'BIG BAR 4E', '   0.89', '  10.48', '   8.93', '   5.36', '   4.49', '   2.01', '   1.22', '   0.43', '   0.00', '   0.37', '   0.00', '   0.00', ' 34.18', '  90'
2002, 'CHNC1', 'CALLAHAN', '   0.19', '   5.20', '   4.28', '   1.94', '   2.34', '   0.66', '   1.22', '   0.37', '   0.11', '   0.16', '   0.01', '   0.16', ' 16.64', '  78'
2002, 'COPC1', 'COPCO #1 DAM', '   0.34', '   3.86', '   4.42', '   2.17', '   1.56', '   1.12', '   2.85', '   0.60', '   0.40', '   0.01', '   0.01', '   0.03', ' 17.37', '  84'
2002, 'FOJC1', 'FORT JONES', '   0.28', '   5.30', '   4.96', '   3.22', '   1.57', '   0.57', '   1.77', '   0.29', '   0.19', '   0.38', '   0.01', '   0.23', ' 18.77', '  86'
2002, 'HFKC1', 'HAYFORK 2W', '   1.63', '   9.63', '   9.98', '   6.60', '   3.78', '   1.85', '   0.73', '   0.78', '   0.05', '   0.09', '   0.01', '   0.00', ' 35.13', '  98'
2002, 'HPAC1', 'HOOPA', 'M', '  14.10', '  12.90', '   8.00', '   6.30', '   3.70', '   2.30', '   0.40', '   0.00', '   0.00', '   0.00', '   0.00', 'M'
2002, 'HPYC1', 'HAPPY CAMP', '   1.11', '  12.45', '  13.32', '   7.60', '   5.59', '   3.07', '   2.56', '   0.77', '   0.00', '   0.28', '   0.00', '   0.15', ' 46.90', '  91'
2002, 'HYAC1', 'HYAMPOM', 'M', 'M', 'M', 'M', '   5.26', '   2.41', '   1.22', '   1.02', '   0.00', '   0.01', '   0.00', '   0.00', 'M'
2002, 'KLAC1', 'KLAMATH', '   5.04', '  17.64', '  19.60', '  10.79', '  11.71', '   7.57', '   4.48', '   1.13', '   0.91', '   0.04', '   0.01', '   0.45', ' 79.37', ' 100'
2002, 'MTHC1', 'MT. HEBRON RS', '   0.59', '   2.55', '   2.01', '   1.18', '   1.04', '   0.85', '   0.89', '   0.66', '   0.86', '   0.03', '   0.00', '   0.02', ' 10.68', '  84'
2002, 'ORLC1', 'ORLEANS', '   1.23', '  12.98', '  12.58', '   7.52', '   6.06', '   3.97', '   2.78', '   0.89', '   0.00', '   0.02', '   0.00', '   0.00', ' 48.03', '  91'
2002, 'STGC1', 'LAVA BEDS NM', '   0.28', '   2.33', '   2.02', '   1.00', '   0.84', '   2.81', '   2.11', '   0.88', '   0.64', '   0.02', '   0.06', '   0.00', ' 12.99', '  86'
2002, 'TRHC1', 'TRINITY RIVER HATCHERY', '   0.87', '   9.37', '   9.39', '   3.70', '   3.88', '   1.91', '   1.16', '   1.00', '   0.30', '   0.00', '   0.00', '   0.02', ' 31.60', '  96'
2002, 'TULC1', 'TULE LAKE', '   0.23', '   1.86', '   1.87', '   1.30', '   1.00', '   0.36', '   1.16', '   0.35', '   0.10', '   0.05', '   0.03', '   0.03', '  8.34', '  74'
2002, 'WEAC1', 'WEAVERVILLE', '   1.22', '  11.07', '  11.01', '   4.88', '   4.82', '   2.16', '   0.98', '   1.20', '   0.50', '   0.25', '   0.00', '   0.00', ' 38.09', '  99'
2002, 'WLLC1', 'WILLOW CREEK 1NW', '   1.25', '  13.65', '  14.00', '   8.63', '   7.29', '   4.09', '   1.64', '   0.68', '   0.00', '   0.00', '   0.00', '   0.00', ' 51.23', '  94'
2002, 'YKAC1', 'YREKA', '   0.28', '   5.39', '   4.14', '   1.87', '   1.45', '   0.49', '   1.56', '   0.61', '   0.20', '   0.18', '   0.20', '   0.43', ' 16.80', '  85'
2002, 'RUSSIAN...NAPA...SAN FRANCISCO BAY'
2002, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2002, 'ANGC1', 'ANGWIN PACIFIC UNION COLL', '   1.44', '   9.16', '  15.12', '   5.70', '   2.48', '   3.69', '   0.44', '   1.40', '   0.00', '   0.00', '   0.00', '   0.00', ' 39.43', '  97'
2002, 'FFDC1', 'FAIRFIELD', '   0.50', '   4.37', '  10.23', '   3.10', '   1.37', '   1.95', '   0.10', '   1.33', '   0.00', '   0.00', '   0.00', '   0.00', ' 22.95', '  98'
2002, 'HLDC1', 'HEALDSBURG FIRE DEPT', '   3.03', '  10.44', '  12.83', '   3.08', '   1.80', '   3.46', '   1.63', '   1.58', '   0.00', '   0.00', '   0.00', '   0.00', ' 37.85', '  90'
2002, 'MHMC1', 'MOUNT HAMILTON', '   0.50', '   3.59', '   7.01', '   2.15', '   1.72', '   3.86', '   1.28', '   2.22', '   0.00', '   0.00', '   0.00', '   0.06', ' 22.39', '  94'
2002, 'NSHC1', 'NAPA STATE HOSPITAL', '   0.51', '   6.17', '   9.45', '   3.50', '   1.93', '   2.63', '   0.30', '   1.20', '   0.00', '   0.00', '   0.00', '   0.00', ' 25.69', '  97'
2002, 'PORC1', 'POTTER VALLEY PH', '   1.40', '  12.48', '  15.10', '   6.16', '   3.67', '   3.90', '   1.19', '   1.22', '   0.00', '   0.00', '   0.00', '   0.00', ' 45.12', ' 100'
2002, 'SFO', 'SAN FRANCISCO AIRPORT', '   0.31', '   4.52', '   8.54', '   1.40', '   1.50', '   2.13', '   0.36', '   0.48', '   0.00', '   0.00', '   0.00', '   0.01', ' 19.25', '  96'
2002, 'SFOC1', 'DOWNTOWN SAN FRANCISCO', '   0.49', '   5.18', '  10.75', '   2.13', '   2.59', '   2.27', '   0.52', '   0.84', '   0.03', '   0.00', '   0.03', '   0.01', ' 24.84', ' 111'
2002, 'STSC1', 'SANTA ROSA', '   0.81', '   9.00', '  11.49', '   5.02', '   1.84', '   2.43', '   0.64', '   1.13', '   0.00', '   0.00', '   0.00', '   0.00', ' 32.36', ' 104'
2002, 'UKHC1', 'UKIAH FIRE DEPT', '   0.69', '   9.36', '  10.77', '   4.16', '   3.05', '   2.09', '   0.70', '   0.76', '   0.00', '   0.00', 'M', '   0.00', 'M'
2002, 'UKI', 'UKIAH ASOS', '   0.68', '   8.55', '  10.22', '   4.22', '   3.05', '   2.13', '   0.85', '   0.88', '   0.00', '   0.00', '   0.00', '   0.00', ' 30.58', 'NA'
2002, 'SACRAMENTO...YUBA...FEATHER...AMERICAN'
2002, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2002, '4LW', 'LAKEVIEW', '   0.54', '   3.15', '   3.51', '   1.11', '   1.74', '   0.83', '   3.05', '   0.14', '   0.24', '   0.00', '   0.04', '   0.13', ' 14.48', '  94'
2002, 'ADNC1', 'ADIN', '   0.21', '   2.46', '   2.37', '   1.62', '   1.22', '   1.40', '   1.84', '   0.46', '   0.10', '   0.00', '   0.00', '   0.00', ' 11.68', '  74'
2002, 'ALTC1', 'ALTURAS', '   0.27', '   2.61', '   1.86', '   0.79', '   1.70', '   0.45', '   1.25', '   0.23', '   0.00', '   0.03', '   0.00', '   0.10', '  9.29', '  77'
2002, 'AUBC1', 'AUBURN', '   0.65', '   4.97', '   9.46', '   5.75', '   3.65', '   6.39', '   0.71', '   2.42', '   0.00', '   0.00', '   0.00', '   0.00', ' 34.00', '  93'
2002, 'BLU', 'BLUE CANYON', '   1.59', '  12.82', '  18.49', '   6.81', '   5.61', '  10.84', '   2.91', '   2.27', '   0.00', '   0.01', '   0.00', '   0.08', ' 61.43', '  88'
2002, 'BNYC1', 'BURNEY', '   1.20', '   4.56', '   6.30', '   3.33', '   2.27', '   1.68', '   1.79', '   0.88', '   0.13', '   0.00', '   0.00', '   0.05', ' 22.19', '  83'
2002, 'BODC1', 'BOWMAN DAM', '   1.80', '  12.96', '  19.77', '   7.65', '   5.60', '  10.17', '   3.95', '   2.67', '   0.00', '   0.00', '   0.00', '   0.00', ' 64.57', '  94'
2002, 'BRRC1', 'BRUSH CREEK RS', '   2.52', '  17.21', '  19.80', '   7.91', '   4.93', '   8.13', '   1.61', '   1.43', '   0.00', '   0.03', '   0.00', '   0.00', ' 63.57', '  89'
2002, 'BUCC1', 'BUCKS CREEK', '   2.07', '  14.02', '  18.47', '   6.14', '   4.61', '   6.73', '   2.88', '   1.80', '   0.00', '   0.00', '   0.00', '   0.00', ' 56.72', '  82'
2002, 'BUKC1', 'BUCKHORN', '   3.45', '  14.21', '  22.28', '   7.81', '   6.18', '   6.36', '   6.85', '   2.80', '   0.00', '   0.00', '   0.00', '   0.05', ' 69.99', ' 105'
2002, 'CANC1', 'CANYON DAM', '   1.10', '   5.19', '   8.20', '   3.81', '   2.54', '   3.54', '   1.25', '   1.14', '   0.02', '   0.00', '   0.00', '   0.00', ' 26.79', '  71'
2002, 'CBYC1', 'CANBY 3SW', '   0.29', '   2.45', '   1.50', '   0.55', '   0.80', '   0.83', '   0.98', '   0.39', '   0.24', '   0.02', '   0.00', '   0.01', '  8.06', '  49'
2002, 'CHAC1', 'CHALLENGE RS', '   2.56', '  11.75', '  18.64', '   7.95', '   5.11', '  10.05', '   1.28', '   1.95', 'M', 'M', 'M', 'M', 'M'
2002, 'CHEC1', 'CHESTER', '   0.94', '   4.43', 'M', '   1.40', '   2.17', '   3.15', '   2.02', '   0.67', '   0.00', '   0.00', '   0.00', '   0.00', 'M'
2002, 'CHUC1', 'CHICO UNIVERSITY FARM', '   1.55', '   4.89', '   6.94', '   4.44', '   0.87', '   2.78', '   0.05', '   1.41', '   0.00', '   0.00', '   0.00', '   0.00', ' 22.93', '  87'
2002, 'CLGC1', 'COLGATE PH', '   1.29', '   7.61', '  12.75', '   4.61', '   4.29', '   7.04', '   1.52', '   1.70', '   0.00', '   0.00', '   0.00', '   0.00', ' 40.81', '  99'
2002, 'COFC1', 'COLFAX', '   1.70', '   7.30', '  11.86', '   4.29', '   5.06', '   8.98', '   1.51', '   1.20', '   0.00', '   0.00', '   0.00', '   0.00', ' 41.90', '  87'
2002, 'DAVC1', 'DAVIS EXPERIMENTAL FARM', '   0.38', '   2.88', '   6.71', '   2.39', '   0.56', '   1.64', '   0.06', '   0.65', '   0.00', '   0.00', '   0.00', '   0.00', ' 15.27', '  80'
2002, 'DESC1', 'DE SABLA', '   2.73', '  13.84', '  19.73', '   8.24', '   4.14', '   6.34', '   2.51', '   1.29', '   0.00', '   0.07', '   0.00', '   0.00', ' 58.89', '  89'
2002, 'DUNC1', 'DUNSMUIR', '   3.49', '  15.30', '  16.15', '   7.76', '   6.56', '   5.20', '   2.17', '   3.10', '   0.17', '   0.01', '   0.02', '   0.13', ' 60.06', '  97'
2002, 'DWNC1', 'DOWNIEVILLE', '   2.17', '  10.70', '  16.33', '   6.32', '   3.98', '   7.89', '   2.51', '   2.24', '   0.00', '   0.00', '   0.00', '   0.00', ' 52.14', '  83'
2002, 'FOLC1', 'FOLSOM DAM', '   0.47', '   3.66', '   6.85', '   2.64', '   1.34', '   3.78', '   0.46', '   1.79', '   0.00', '   0.00', '   0.00', '   0.00', ' 20.99', '  84'
2002, 'FSTC1', 'FORESTHILL RS', '   1.44', '   7.43', '  16.16', '   5.40', '   5.78', '   9.44', '   1.15', '   2.96', '   0.00', '   0.00', '   0.00', '   0.00', ' 49.76', '  96'
2002, 'GEOC1', 'GEORGETOWN RS', '   1.00', '   7.86', '  14.48', '   5.63', '   4.85', '   9.70', '   2.11', '   2.90', '   0.00', '   0.00', '   0.00', '   0.00', ' 48.53', '  90'
2002, 'GLRC1', 'GOLD RUN 2SW', '   1.58', '   9.75', '  14.55', '   4.72', '   1.25', '   9.48', '   2.54', '   2.67', '   0.00', '   0.00', '   0.00', '   0.00', ' 46.54', '  84'
2002, 'GRAC1', 'GRASS VALLEY NO. 2', '   1.94', '   8.08', '  16.28', '   5.56', '   5.29', '   8.38', '   1.41', '   2.26', '   0.00', '   0.00', '   0.00', '   0.00', ' 49.20', '  93'
2002, 'GREC1', 'GREENVILLE RS', '   1.41', '   8.32', '   7.61', '   5.87', '   2.39', '   4.34', '   1.43', '   0.98', '   0.00', '   0.00', '   0.00', '   0.00', ' 32.35', '  81'
2002, 'HATC1', 'HAT CREEK', '   0.88', '   3.00', '   2.97', '   2.22', '   1.14', '   1.25', '   1.50', '   0.10', '   0.29', '   0.01', '   0.00', '   0.05', ' 13.41', '  67'
2002, 'HLEC1', 'HARRY L ENGLEBRIGHT DAM', '   1.82', '   6.00', '  10.46', '   3.75', '   2.16', '   5.48', '   0.92', '   1.72', '   0.00', '   0.00', '   0.00', '   0.00', ' 32.31', '  93'
2002, 'HRRC1', 'HARRISON GULCH RS', '   0.78', '   6.20', '  11.78', '   7.74', '   3.80', '   2.43', '   1.09', '   1.43', '   0.00', '   0.04', '   0.00', '   0.00', ' 35.29', '  94'
2002, 'LSPC1', 'LAKE SPAULDING', '   1.85', '  12.67', '  19.16', '   7.52', '   5.49', '  10.73', '   4.06', '   2.36', '   0.00', '   0.00', '   0.00', '   0.08', ' 63.92', '  86'
2002, 'MCLC1', 'MCCLOUD', '   1.60', '  10.46', '  12.06', '   4.24', '   4.29', '   2.36', '   1.64', '   0.94', '   0.48', '   0.00', '   0.00', '   0.07', ' 38.14', '  78'
2002, 'MHS', 'MT. SHASTA', '   1.02', '   9.53', '  10.77', '   4.63', '   3.58', '   2.21', '   2.06', '   2.20', '   0.80', '   0.02', '   0.21', '   0.74', ' 37.77', '  95'
2002, 'MINC1', 'MINERAL', '   2.85', '  10.49', '  12.01', '   6.45', '   2.90', '   4.72', '   2.70', '   0.76', '   0.00', '   0.00', '   0.00', '   0.00', ' 42.88', '  76'
2002, 'MNZC1', 'MANZANITA LAKE', '   1.76', '   6.16', '   6.81', '   5.34', '   2.55', '   3.70', '   4.64', '   1.28', '   0.37', '   0.86', '   0.00', '   0.00', ' 33.47', '  81'
2002, 'NCOC1', 'NICOLAUS', '   0.50', '   2.59', '   5.67', '   2.24', '   0.74', '   2.77', '   0.23', '   1.37', '   0.00', '   0.00', '   0.00', '   0.00', ' 16.11', '  81'
2002, 'NVDC1', 'NEVADA CITY', '   2.01', '   9.94', '  19.72', '   6.29', '   5.13', '   9.12', '   1.80', '   2.40', '   0.00', '   0.00', '   0.00', '   0.00', ' 56.41', '  95'
2002, 'ONDC1', 'ORLAND', '   0.91', '   5.24', '   6.29', '   2.60', '   0.45', '   0.97', '   0.03', '   1.03', '   0.00', '   0.00', '   0.00', '   0.00', ' 17.52', '  80'
2002, 'OROC1', 'OROVILLE', '   1.40', '   7.40', '   6.50', '   4.38', '   1.28', '   3.41', '   2.03', '   2.68', '   0.00', '   0.00', '   0.00', '   0.00', ' 29.08', ' 101'
2002, 'PCHC1', 'PACIFIC HOUSE', '   1.03', '   9.21', '  12.39', '   4.72', '   4.62', '   8.16', '   2.18', '   2.50', '   0.00', '   0.00', '   0.00', '   0.03', ' 44.84', '  86'
2002, 'PLCC1', 'PLACERVILLE', '   0.78', '   5.67', '  10.62', '   4.51', '   3.98', '   6.47', '   0.80', '   1.89', '   0.00', '   0.00', '   0.00', '   0.00', ' 34.72', '  90'
2002, 'PRAC1', 'PORTOLA', '   0.40', '   2.64', '   5.85', '   1.47', '   0.45', '   2.66', '   1.28', '   0.37', '   0.10', '   0.15', '   0.00', '   0.00', ' 15.37', '  67'
2002, 'PRDC1', 'PARADISE', '   2.96', '  12.79', '  18.23', '   8.44', '   4.83', '   5.79', '   1.85', '   1.43', '   0.00', '   0.00', '   0.00', '   0.00', ' 56.32', ' 100'
2002, 'PRPC1', 'PIT RIVER PH5', '   3.93', '  12.23', '  23.75', '   7.63', '   6.02', '   7.60', '   4.48', '   1.66', '   0.09', '   0.00', '   0.00', '   0.21', ' 67.60', '  89'
2002, 'PTRC1', 'PIT RIVER PH1', '   0.81', '   3.04', '   3.30', '   2.05', '   0.79', '   1.15', '   1.27', '   0.19', '   0.10', '   0.00', '   0.00', '   0.02', ' 12.72', '  67'
2002, 'QCYC1', 'QUINCY', '   1.64', '   7.13', '  10.69', '   4.18', '   1.98', '   4.13', '   1.16', '   1.46', '   0.24', '   0.00', '   0.00', '   0.00', ' 32.61', '  85'
2002, 'RBL', 'RED BLUFF AP', '   0.81', '   5.14', '   6.13', '   2.11', '   0.95', '   1.49', '   0.81', '   0.82', '   0.00', '   0.00', '   0.00', '   0.00', ' 18.26', '  76'
2002, 'ROMC1', 'ROUND MOUNTAIN', '   3.24', '  12.12', '  20.13', '   6.55', '   5.02', '   6.39', '   5.06', '   2.36', '   0.04', '   0.00', '   0.00', '   0.01', ' 60.92', '  94'
2002, 'SAC', 'SACRAMENTO AP', '   0.36', '   2.43', '   6.27', '   2.19', '   1.13', '   2.87', '   0.11', '   2.07', '   0.00', '   0.00', '   0.00', '   0.00', ' 17.43', '  97'
2002, 'SERC1', 'SIERRAVILLE', '   0.66', '   4.62', '   5.13', '   1.60', '   1.18', '   3.72', '   0.98', '   0.38', '   0.05', '   0.11', '   0.00', '   0.00', ' 18.43', '  70'
2002, 'SHDC1', 'SHASTA DAM', '   2.88', '  17.26', '  20.05', '   6.16', '   5.21', '   4.86', '   1.55', '   2.67', '   0.28', '   0.00', '   0.00', '   0.00', ' 60.92', '  96'
2002, 'SLPC1', 'SLY PARK', '   1.02', '   7.92', '  11.51', '   4.69', '   4.96', '   8.20', '   2.24', '   2.64', '   0.00', '   0.00', '   0.00', '   0.02', ' 43.20', 'NA'
2002, 'SODC1', 'SODA SPRINGS', '   1.89', '  10.90', '  14.76', '   6.93', '   5.03', '   9.56', '   4.64', '   1.10', '   0.04', '   0.00', '   0.00', '   0.04', ' 54.89', 'NA'
